harga,kota,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
2990000000.0,Bekasi,Summarecon Bekasi,239.0,272.0,4.0,4.0
1270000000.0,Bekasi,Summarecon Bekasi,55.0,69.0,3.0,2.0
1950000000.0,Bekasi,Summarecon Bekasi,119.0,131.0,3.0,3.0
3300000000.0,Bekasi,Summarecon Bekasi,180.0,174.0,3.0,3.0
4500000000.0,Bekasi,Summarecon Bekasi,328.0,196.0,4.0,3.0
2700000000.0,Bekasi,Summarecon Bekasi,136.0,200.0,3.0,3.0
2350000000.0,Bekasi,Summarecon Bekasi,144.0,144.0,2.0,2.0
4500000000.0,Bekasi,Summarecon Bekasi,216.0,250.0,4.0,4.0
2700000000.0,Bekasi,Summarecon Bekasi,136.0,200.0,3.0,3.0
2550000000.0,Bekasi,Summarecon Bekasi,144.0,186.0,3.0,2.0
952000000.0,Bekasi,Summarecon Bekasi,55.0,50.0,2.0,2.0
1800000000.0,Bekasi,Summarecon Bekasi,119.0,82.0,2.0,1.0
2350000000.0,Bekasi,Summarecon Bekasi,144.0,149.0,3.0,3.0
2500000000.0,Bekasi,Summarecon Bekasi,144.0,200.0,3.0,3.0
2700000000.0,Bekasi,Summarecon Bekasi,193.0,136.0,3.0,3.0
5360000000.0,Bekasi,Summarecon Bekasi,192.0,370.0,5.0,4.0
952000000.0,Bekasi,Summarecon Bekasi,55.0,50.0,2.0,2.0
2250000000.0,Bekasi,Summarecon Bekasi,119.0,150.0,4.0,3.0
2250000000.0,Bekasi,Summarecon Bekasi,119.0,150.0,3.0,2.0
2450000000.0,Bekasi,Summarecon Bekasi,144.0,150.0,3.0,3.0
125000000.0,Bekasi,Summarecon Bekasi,110.0,110.0,3.0,1.0
1980000000.0,Bekasi,Summarecon Bekasi,119.0,98.0,2.0,2.0
764000000.0,Bekasi,Summarecon Bekasi,78.0,83.0,3.0,3.0
764000000.0,Bekasi,Summarecon Bekasi,78.0,83.0,3.0,3.0
2350000000.0,Bekasi,Summarecon Bekasi,119.0,140.0,3.0,2.0
2550000000.0,Bekasi,Summarecon Bekasi,144.0,186.0,3.0,2.0
480000000.0,Bekasi,Summarecon Bekasi,55.0,30.0,2.0,1.0
1900000000.0,Bekasi,Summarecon Bekasi,91.0,120.0,2.0,3.0
300000000.0,Bekasi,Bekasi,60.0,36.0,2.0,1.0
5270000000.0,Bekasi,Bekasi,192.0,307.0,4.0,3.0
2800000000.0,Bekasi,Bekasi,150.0,200.0,4.0,3.0
2710000000.0,Bekasi,Bekasi,135.0,149.0,4.0,4.0
500000000.0,Bekasi,Bekasi,72.0,42.0,3.0,1.0
439000000.0,Bekasi,Bekasi,60.0,37.0,3.0,1.0
800000000.0,Bekasi,Bekasi,92.0,82.0,3.0,2.0
850000000.0,Bekasi,Bekasi,200.0,125.0,3.0,2.0
700000000.0,Bekasi,Bekasi,90.0,146.0,3.0,2.0
4950000000.0,Bekasi,Bekasi,348.0,430.0,5.0,4.0
1300000000.0,Bekasi,Bekasi,84.0,105.0,4.0,4.0
