harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
2990000000.0,239.0,272.0,4.0,4.0
1270000000.0,55.0,69.0,3.0,2.0
1950000000.0,119.0,131.0,3.0,3.0
3300000000.0,180.0,174.0,3.0,3.0
4500000000.0,328.0,196.0,4.0,3.0
2700000000.0,136.0,200.0,3.0,3.0
2350000000.0,144.0,144.0,2.0,2.0
4500000000.0,216.0,250.0,4.0,4.0
2700000000.0,136.0,200.0,3.0,3.0
2550000000.0,144.0,186.0,3.0,2.0
952000000.0,55.0,50.0,2.0,2.0
1800000000.0,119.0,82.0,2.0,1.0
2350000000.0,144.0,149.0,3.0,3.0
2500000000.0,144.0,200.0,3.0,3.0
2700000000.0,193.0,136.0,3.0,3.0
5360000000.0,192.0,370.0,5.0,4.0
952000000.0,55.0,50.0,2.0,2.0
2250000000.0,119.0,150.0,4.0,3.0
2250000000.0,119.0,150.0,3.0,2.0
2450000000.0,144.0,150.0,3.0,3.0
125000000.0,110.0,110.0,3.0,1.0
1980000000.0,119.0,98.0,2.0,2.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
2350000000.0,119.0,140.0,3.0,2.0
2550000000.0,144.0,186.0,3.0,2.0
480000000.0,55.0,30.0,2.0,1.0
1900000000.0,91.0,120.0,2.0,3.0
300000000.0,60.0,36.0,2.0,1.0
5270000000.0,192.0,307.0,4.0,3.0
2800000000.0,150.0,200.0,4.0,3.0
2710000000.0,135.0,149.0,4.0,4.0
500000000.0,72.0,42.0,3.0,1.0
439000000.0,60.0,37.0,3.0,1.0
800000000.0,92.0,82.0,3.0,2.0
850000000.0,200.0,125.0,3.0,2.0
700000000.0,90.0,146.0,3.0,2.0
4950000000.0,348.0,430.0,5.0,4.0
1300000000.0,84.0,105.0,4.0,4.0
1200000000.0,120.0,90.0,3.0,2.0
2650000000.0,160.0,296.0,5.0,4.0
1300000000.0,84.0,105.0,4.0,4.0
1300000000.0,84.0,105.0,4.0,4.0
1300000000.0,84.0,105.0,4.0,3.0
425000000.0,90.0,65.0,2.0,1.0
280000000.0,70.0,40.0,2.0,1.0
999000000.0,127.0,190.0,6.0,2.0
5750000000.0,400.0,398.0,5.0,4.0
1500000000.0,100.0,136.0,3.0,2.0
6800000000.0,700.0,1400.0,8.0,9.0
3000000000.0,250.0,400.0,4.0,5.0
168000000.0,60.0,19.0,2.0,1.0
870000000.0,90.0,80.0,3.0,1.0
495000000.0,86.0,45.0,2.0,1.0
275000000.0,60.0,36.0,2.0,1.0
300000000.0,70.0,70.0,2.0,2.0
1440000000.0,55.0,60.0,2.0,2.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
495000000.0,86.0,45.0,2.0,1.0
1500000000.0,100.0,136.0,4.0,3.0
300000000.0,60.0,36.0,2.0,1.0
365000000.0,60.0,36.0,2.0,1.0
350000000.0,60.0,38.0,2.0,1.0
351000000.0,60.0,38.0,2.0,1.0
393000000.0,60.0,36.0,2.0,1.0
392000000.0,72.0,36.0,2.0,1.0
440000000.0,66.0,36.0,2.0,1.0
351000000.0,60.0,38.0,2.0,1.0
401000000.0,66.0,38.0,2.0,1.0
1990000000.0,160.0,216.0,4.0,4.0
1150000000.0,126.0,126.0,3.0,2.0
3200000000.0,376.0,700.0,5.0,4.0
950000000.0,66.0,87.0,3.0,2.0
1500000000.0,126.0,80.0,2.0,2.0
1250000000.0,84.0,56.0,2.0,2.0
1200000000.0,152.0,200.0,5.0,3.0
3200000000.0,376.0,700.0,5.0,5.0
850000000.0,90.0,60.0,2.0,1.0
1280000000.0,139.0,120.0,3.0,2.0
895000000.0,58.0,90.0,3.0,3.0
1450000000.0,131.0,225.0,4.0,3.0
1300000000.0,126.0,90.0,2.0,1.0
690000000.0,90.0,60.0,2.0,2.0
950000000.0,90.0,120.0,2.0,1.0
1350000000.0,90.0,160.0,4.0,3.0
1000000000.0,138.0,120.0,3.0,2.0
2850000000.0,160.0,216.0,3.0,3.0
1150000000.0,78.0,52.0,3.0,2.0
342000000.0,36.0,63.0,2.0,1.0
327000000.0,36.0,60.0,2.0,1.0
975000000.0,90.0,70.0,2.0,1.0
975000000.0,90.0,70.0,3.0,2.0
